participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.treatment,participant.start_time,participant.end_time,participant.finished,participant.browser,participant.attention_check,participant.cq_1_mistakes,participant.cq_2_mistakes,participant.attempts_training,participant.attempts_work_1,participant.attempts_work_2,participant.attempts_work_3,participant.which_belief,participant.beliefs1,participant.beliefs2,participant.beliefs3,participant.beliefs1_3,participant.beliefs1_2,participant.beliefs2_3,participant.beliefs4,participant.belief_bonus,participant.feedback,participant.feedback_difficulty,participant.feedback_understanding,participant.feedback_satisfied,participant.feedback_pay,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.real_world_currency_per_point,session.config.name,session.config.development,session.config.participation_fee,session.prolific_completion_url,otfe.1.player.id_in_group,otfe.1.player.role,otfe.1.player.payoff,otfe.1.player.data_dummy,otfe.1.player.beliefs1,otfe.1.player.beliefs2,otfe.1.player.beliefs3,otfe.1.player.beliefs4,otfe.1.player.beliefs1_2,otfe.1.player.beliefs1_3,otfe.1.player.beliefs2_3,otfe.1.player.cq_1,otfe.1.player.cq_2,otfe.1.player.cq_3,otfe.1.player.survey_student_loans,otfe.1.player.survey_pandemic,otfe.1.player.survey_wealth_tax_savings,otfe.1.player.survey_wealth_tax_consumption,otfe.1.player.survey_wealth_tax_personal_savings,otfe.1.player.survey_wealth_tax_personal_consumption,otfe.1.player.survey_repatriation,otfe.1.player.survey_one_time_policies,otfe.1.player.survey_tax_rates_1,otfe.1.player.survey_tax_rates_2,otfe.1.player.survey_tax_rates_3,otfe.1.player.survey_tax_rates_4,otfe.1.player.survey_tax_rates_5,otfe.1.player.feedback,otfe.1.player.feedback_difficulty,otfe.1.player.feedback_understanding,otfe.1.player.feedback_satisfied,otfe.1.player.feedback_pay,otfe.1.group.id_in_subsession,otfe.1.subsession.round_number
43,biil32ip,,0,0,29,,,,0,,,0.0,C-Info,,,,,,0,0,,,,,2_3,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,43,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
44,q61r4mub,,0,0,29,,,,0,,,0.0,T1-P,,,,,,0,0,,,,,1_2,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,44,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
45,dk1uu4d8,,0,0,29,,,,0,,,0.0,T1-T-NoInfo,,,,,,0,0,,,,,1_3,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,45,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
46,9g8g1f26,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,2,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,46,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
47,js9p4suj,,0,0,29,,,,0,,,0.0,T1-T-Info,,,,,,0,0,,,,,1_3,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,47,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
48,6mpsys3u,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,2,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,48,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
49,w2byo6ig,,0,0,29,,,,0,,,0.0,C-Info,,,,,,0,0,,,,,1_3,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,49,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
50,0nt1i1q5,,0,0,29,,,,0,,,0.0,T1-P,,,,,,0,0,,,,,2,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,50,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
51,pv9shbxk,,0,0,29,,,,0,,,0.0,T1-T-NoInfo,,,,,,0,0,,,,,2,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,51,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
52,jhxfibva,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,3,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,52,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
53,kn2soaeb,,0,0,29,,,,0,,,0.0,T1-T-Info,,,,,,0,0,,,,,2_3,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,53,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
54,pr2v2wzo,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,2,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,54,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
55,39sjvmxf,,0,0,29,,,,0,,,0.0,C-Info,,,,,,0,0,,,,,3,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,55,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
56,tjlxdh7b,,0,0,29,,,,0,,,0.0,T1-P,,,,,,0,0,,,,,2_3,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,56,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
57,f0i7mkgj,,0,0,29,,,,0,,,0.0,T1-T-NoInfo,,,,,,0,0,,,,,2_3,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,57,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
58,ly0319oy,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,1,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,58,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
59,v0lxoj3o,,0,0,29,,,,0,,,0.0,T1-T-Info,,,,,,0,0,,,,,2_3,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,59,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
60,gmp5tj60,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,1,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,60,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
61,seje5ggw,,0,0,29,,,,0,,,0.0,C-Info,,,,,,0,0,,,,,1_3,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,61,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
62,qsr360em,,0,0,29,,,,0,,,0.0,T1-P,,,,,,0,0,,,,,1_3,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,62,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
63,owy62tl1,,0,0,29,,,,0,,,0.0,T1-T-NoInfo,,,,,,0,0,,,,,1_2,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,63,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
64,xjy6xo99,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,2_3,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,64,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
65,nc9ylq1j,,0,0,29,,,,0,,,0.0,T1-T-Info,,,,,,0,0,,,,,3,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,65,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
66,1hrbnwf2,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,3,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,66,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
67,goarv6gy,,0,0,29,,,,0,,,0.0,C-Info,,,,,,0,0,,,,,2,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,67,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
68,jdf4bb1o,,0,0,29,,,,0,,,0.0,T1-P,,,,,,0,0,,,,,1,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,68,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
69,z95xbl0t,,0,0,29,,,,0,,,0.0,T1-T-NoInfo,,,,,,0,0,,,,,1_3,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,69,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
70,4j7w8eix,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,1_3,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,70,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
71,232gbgy2,,0,0,29,,,,0,,,0.0,T1-T-Info,,,,,,0,0,,,,,2_3,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,71,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
72,wr8fa56d,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,1,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,72,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
73,ynnk3l7q,,0,0,29,,,,0,,,0.0,C-Info,,,,,,0,0,,,,,2,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,73,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
74,fwd3eeto,,0,0,29,,,,0,,,0.0,T1-P,,,,,,0,0,,,,,2,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,74,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
75,7bqjvj2d,,0,0,29,,,,0,,,0.0,T1-T-NoInfo,,,,,,0,0,,,,,1,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,75,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
76,bulxzqt6,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,2_3,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,76,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
77,i4wvwkbh,,0,0,29,,,,0,,,0.0,T1-T-Info,,,,,,0,0,,,,,1,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,77,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
78,tmnxargb,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,2,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,78,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
79,zelx72p4,,0,0,29,,,,0,,,0.0,C-Info,,,,,,0,0,,,,,1_3,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,79,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
80,empi4soa,,0,0,29,,,,0,,,0.0,T1-P,,,,,,0,0,,,,,1_3,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,80,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
81,nbabs2a8,,0,0,29,,,,0,,,0.0,T1-T-NoInfo,,,,,,0,0,,,,,2,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,81,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
82,vpu93z9t,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,1_3,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,82,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
83,qxymdip3,,0,0,29,,,,0,,,0.0,T1-T-Info,,,,,,0,0,,,,,1_3,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,83,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
84,yi3n3qj5,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,2,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,84,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
85,9o46h1f9,,0,0,29,,,,0,,,0.0,C-Info,,,,,,0,0,,,,,1_3,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,85,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
86,m4u3zrcw,,0,0,29,,,,0,,,0.0,T1-P,,,,,,0,0,,,,,1_3,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,86,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
87,t7q9qiua,,0,0,29,,,,0,,,0.0,T1-T-NoInfo,,,,,,0,0,,,,,2,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,87,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
88,y73o30je,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,2_3,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,88,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
89,p5qkz6n6,,0,0,29,,,,0,,,0.0,T1-T-Info,,,,,,0,0,,,,,1_2,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,89,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
90,dknu0z51,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,3,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,90,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
91,5vht6cvu,,0,0,29,,,,0,,,0.0,C-Info,,,,,,0,0,,,,,1_3,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,91,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
92,19uwz0py,,0,0,29,,,,0,,,0.0,T1-P,,,,,,0,0,,,,,1_3,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,92,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
93,sbeuxgos,,0,0,29,,,,0,,,0.0,T1-T-NoInfo,,,,,,0,0,,,,,2_3,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,93,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
94,081s01kw,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,1_2,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,94,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
95,2uuc95rt,,0,0,29,,,,0,,,0.0,T1-T-Info,,,,,,0,0,,,,,1_2,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,95,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
96,tspzspag,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,1_2,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,96,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
97,7dvntjue,,0,0,29,,,,0,,,0.0,C-Info,,,,,,0,0,,,,,2,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,97,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
98,qkuyy40x,,0,0,29,,,,0,,,0.0,T1-P,,,,,,0,0,,,,,1_2,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,98,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
99,y52crjhf,,0,0,29,,,,0,,,0.0,T1-T-NoInfo,,,,,,0,0,,,,,2,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,99,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
100,2gyppflg,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,1,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,100,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
1,1j7stqdf,,0,4,29,otfe,Instructions,2025-02-09 21:58:36.320888,1,,,0.0,C-NoInfo,1739138317.7370348,,,Safari 18,,0,0,,,,,1,,,,,,,,,,,,,,mncx7ae2,,,,,1,1.0,otfe_dev,1,0.0,,1,,0.0,Safari 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
2,72qtey5m,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,1_3,,,,,,,,,,,,,,mncx7ae2,,,,,1,1.0,otfe_dev,1,0.0,,2,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
3,5swon0pj,,0,0,29,,,,0,,,0.0,T1-T-Info,,,,,,0,0,,,,,2,,,,,,,,,,,,,,mncx7ae2,,,,,1,1.0,otfe_dev,1,0.0,,3,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
4,0kqbvyfj,,0,0,29,,,,0,,,0.0,T1-P,,,,,,0,0,,,,,3,,,,,,,,,,,,,,mncx7ae2,,,,,1,1.0,otfe_dev,1,0.0,,4,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
5,yzb38otd,,0,0,29,,,,0,,,0.0,T1-T-NoInfo,,,,,,0,0,,,,,2,,,,,,,,,,,,,,mncx7ae2,,,,,1,1.0,otfe_dev,1,0.0,,5,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
6,s9mk6r6n,,0,0,29,,,,0,,,0.0,C-Info,,,,,,0,0,,,,,1_3,,,,,,,,,,,,,,mncx7ae2,,,,,1,1.0,otfe_dev,1,0.0,,6,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
