participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.treatment,participant.start_time,participant.end_time,participant.finished,participant.browser,participant.attention_check,participant.cq_1_mistakes,participant.cq_2_mistakes,participant.cq_3_mistakes,participant.attempts_training,participant.attempts_work_1,participant.attempts_work_2,participant.attempts_work_3,participant.which_belief,participant.beliefs1,participant.beliefs2,participant.beliefs3,participant.beliefs1_3,participant.beliefs1_2,participant.beliefs2_3,participant.beliefs4,participant.belief_bonus,participant.feedback,participant.feedback_difficulty,participant.feedback_understanding,participant.feedback_satisfied,participant.feedback_pay,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.name,session.config.real_world_currency_per_point,session.config.development,session.config.participation_fee,session.prolific_completion_url,otfe.1.player.id_in_group,otfe.1.player.role,otfe.1.player.payoff,otfe.1.player.data_dummy,otfe.1.player.beliefs1,otfe.1.player.beliefs2,otfe.1.player.beliefs3,otfe.1.player.beliefs4,otfe.1.player.beliefs1_2,otfe.1.player.beliefs1_3,otfe.1.player.beliefs2_3,otfe.1.player.cq_1,otfe.1.player.cq_2,otfe.1.player.cq_3,otfe.1.player.survey_student_loans_with,otfe.1.player.survey_student_loans_without,otfe.1.player.survey_student_loans_with_likert,otfe.1.player.survey_student_loans_without_likert,otfe.1.player.survey_pandemic,otfe.1.player.survey_wealth_tax_savings,otfe.1.player.survey_wealth_tax_savings_number,otfe.1.player.survey_wealth_tax_consumption,otfe.1.player.survey_wealth_tax_personal_savings,otfe.1.player.survey_wealth_tax_personal_consumption,otfe.1.player.survey_repatriation,otfe.1.player.survey_tax_rates_1,otfe.1.player.survey_tax_rates_2,otfe.1.player.survey_tax_rates_3,otfe.1.player.survey_tax_rates_4,otfe.1.player.survey_tax_rates_5,otfe.1.player.survey_tax_rates_1_prob,otfe.1.player.survey_tax_rates_2_prob,otfe.1.player.survey_tax_rates_3_prob,otfe.1.player.survey_tax_rates_4_prob,otfe.1.player.survey_tax_rates_5_prob,otfe.1.player.annual_income,otfe.1.player.feedback,otfe.1.player.feedback_difficulty,otfe.1.player.feedback_understanding,otfe.1.player.feedback_satisfied,otfe.1.player.feedback_pay,otfe.1.group.id_in_subsession,otfe.1.subsession.round_number
119,xkxa30zf,,0,0,32,,,,0,,,0.0,T1-P,,,,,,0,0,0,,,,,2_3,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,119,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
120,runrpsg5,,0,0,32,,,,0,,,0.0,C-Info,,,,,,0,0,0,,,,,1_2,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,120,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
121,9gpo1013,,0,0,32,,,,0,,,0.0,C-NoInfo,,,,,,0,0,0,,,,,2_3,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,121,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
122,oemgnt9w,,0,0,32,,,,0,,,0.0,T2-T,,,,,,0,0,0,,,,,2,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,122,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
123,hhttecgo,,0,0,32,,,,0,,,0.0,T1-T-Info,,,,,,0,0,0,,,,,3,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,123,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
124,d41f3gto,,0,0,32,,,,0,,,0.0,T1-T-NoInfo,,,,,,0,0,0,,,,,1_2,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,124,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
125,c088vmz7,,0,0,32,,,,0,,,0.0,T1-P,,,,,,0,0,0,,,,,1,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,125,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
126,tmqw1a5b,,0,0,32,,,,0,,,0.0,C-Info,,,,,,0,0,0,,,,,1_2,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,126,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
127,d679hpmd,,0,0,32,,,,0,,,0.0,C-NoInfo,,,,,,0,0,0,,,,,3,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,127,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
128,782wny7y,,0,0,32,,,,0,,,0.0,T2-T,,,,,,0,0,0,,,,,1_3,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,128,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
129,555bppgo,,0,0,32,,,,0,,,0.0,T1-T-Info,,,,,,0,0,0,,,,,1_2,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,129,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
130,81vqxjkf,,0,0,32,,,,0,,,0.0,T1-T-NoInfo,,,,,,0,0,0,,,,,2_3,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,130,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
131,gc4myfoo,,0,0,32,,,,0,,,0.0,T1-P,,,,,,0,0,0,,,,,1,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,131,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
132,ur4zjucg,,0,0,32,,,,0,,,0.0,C-Info,,,,,,0,0,0,,,,,2_3,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,132,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
133,glrrsntr,,0,0,32,,,,0,,,0.0,C-NoInfo,,,,,,0,0,0,,,,,1_2,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,133,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
134,thbti29j,,0,0,32,,,,0,,,0.0,T2-T,,,,,,0,0,0,,,,,3,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,134,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
135,px3n5fah,,0,0,32,,,,0,,,0.0,T1-T-Info,,,,,,0,0,0,,,,,2,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,135,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
136,b5tmi2ws,,0,0,32,,,,0,,,0.0,T1-T-NoInfo,,,,,,0,0,0,,,,,1_2,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,136,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
137,o8kbucf9,,0,0,32,,,,0,,,0.0,T1-P,,,,,,0,0,0,,,,,2_3,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,137,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
138,otrel4hv,,0,0,32,,,,0,,,0.0,C-Info,,,,,,0,0,0,,,,,2_3,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,138,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
139,pifcpb57,,0,0,32,,,,0,,,0.0,C-NoInfo,,,,,,0,0,0,,,,,2_3,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,139,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
140,44l3wjke,,0,0,32,,,,0,,,0.0,T2-T,,,,,,0,0,0,,,,,1,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,140,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
141,c7vkl9zp,,0,0,32,,,,0,,,0.0,T1-T-Info,,,,,,0,0,0,,,,,2_3,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,141,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
142,tw391cch,,0,0,32,,,,0,,,0.0,T1-T-NoInfo,,,,,,0,0,0,,,,,2,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,142,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
143,nabywq3g,,0,0,32,,,,0,,,0.0,T1-P,,,,,,0,0,0,,,,,1_3,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,143,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
144,xki9n3ta,,0,0,32,,,,0,,,0.0,C-Info,,,,,,0,0,0,,,,,1_2,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,144,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
145,09waulr8,,0,0,32,,,,0,,,0.0,C-NoInfo,,,,,,0,0,0,,,,,2_3,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,145,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
146,82uvelg1,,0,0,32,,,,0,,,0.0,T2-T,,,,,,0,0,0,,,,,2,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,146,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
147,b9xy98wq,,0,0,32,,,,0,,,0.0,T1-T-Info,,,,,,0,0,0,,,,,1_3,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,147,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
148,50ixhp1a,,0,0,32,,,,0,,,0.0,T1-T-NoInfo,,,,,,0,0,0,,,,,1,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,148,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
149,2y0d3c1f,,0,0,32,,,,0,,,0.0,T1-P,,,,,,0,0,0,,,,,3,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,149,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
150,b44ggkgt,,0,0,32,,,,0,,,0.0,C-Info,,,,,,0,0,0,,,,,2,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,150,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
151,mcovtjoc,,0,0,32,,,,0,,,0.0,C-NoInfo,,,,,,0,0,0,,,,,1_3,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,151,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
152,h6g3o3xp,,0,0,32,,,,0,,,0.0,T2-T,,,,,,0,0,0,,,,,2,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,152,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
153,a2c92fov,,0,0,32,,,,0,,,0.0,T1-T-Info,,,,,,0,0,0,,,,,1_3,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,153,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
154,k8ml3snh,,0,0,32,,,,0,,,0.0,T1-T-NoInfo,,,,,,0,0,0,,,,,3,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,154,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
155,1upa7o5l,,0,0,32,,,,0,,,0.0,T1-P,,,,,,0,0,0,,,,,1_2,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,155,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
156,2gkl8g39,,0,0,32,,,,0,,,0.0,C-Info,,,,,,0,0,0,,,,,2,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,156,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
157,umm2xcca,,0,0,32,,,,0,,,0.0,C-NoInfo,,,,,,0,0,0,,,,,1_3,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,157,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
158,xqoc3e5y,,0,0,32,,,,0,,,0.0,T2-T,,,,,,0,0,0,,,,,2,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,158,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
159,opi5qf8d,,0,0,32,,,,0,,,0.0,T1-T-Info,,,,,,0,0,0,,,,,1_3,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,159,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
160,xjvq2s4v,,0,0,32,,,,0,,,0.0,T1-T-NoInfo,,,,,,0,0,0,,,,,2_3,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,160,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
161,vx1yr7xe,,0,0,32,,,,0,,,0.0,T1-P,,,,,,0,0,0,,,,,2,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,161,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
162,n1i9ny8c,,0,0,32,,,,0,,,0.0,C-Info,,,,,,0,0,0,,,,,2_3,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,162,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
163,j3h4hi1v,,0,0,32,,,,0,,,0.0,C-NoInfo,,,,,,0,0,0,,,,,3,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,163,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
164,8hcs576v,,0,0,32,,,,0,,,0.0,T2-T,,,,,,0,0,0,,,,,1,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,164,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
165,c86kcgmo,,0,0,32,,,,0,,,0.0,T1-T-Info,,,,,,0,0,0,,,,,3,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,165,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
166,6dfptdhz,,0,0,32,,,,0,,,0.0,T1-T-NoInfo,,,,,,0,0,0,,,,,1_3,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,166,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
167,qx20jlxh,,0,0,32,,,,0,,,0.0,T1-P,,,,,,0,0,0,,,,,3,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,167,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
168,t559xg6e,,0,0,32,,,,0,,,0.0,C-Info,,,,,,0,0,0,,,,,2,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,168,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
169,uk4f8oq3,,0,0,32,,,,0,,,0.0,C-NoInfo,,,,,,0,0,0,,,,,2,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,169,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
170,g9c32x6w,,0,0,32,,,,0,,,0.0,T2-T,,,,,,0,0,0,,,,,2_3,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,170,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
171,a06cbsn7,,0,0,32,,,,0,,,0.0,T1-T-Info,,,,,,0,0,0,,,,,3,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,171,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
172,0y5wn57w,,0,0,32,,,,0,,,0.0,T1-T-NoInfo,,,,,,0,0,0,,,,,1_3,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,172,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
173,k7q85vgp,,0,0,32,,,,0,,,0.0,T1-P,,,,,,0,0,0,,,,,1_2,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,173,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
174,ecklwh2x,,0,0,32,,,,0,,,0.0,C-Info,,,,,,0,0,0,,,,,1_3,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,174,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
175,k12uz275,,0,0,32,,,,0,,,0.0,C-NoInfo,,,,,,0,0,0,,,,,1_2,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,175,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
176,5dmfol17,,0,0,32,,,,0,,,0.0,T2-T,,,,,,0,0,0,,,,,1_3,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,176,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
177,jn2u5a4w,,0,0,32,,,,0,,,0.0,T1-T-Info,,,,,,0,0,0,,,,,1_2,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,177,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
178,y4z2etmw,,0,0,32,,,,0,,,0.0,T1-T-NoInfo,,,,,,0,0,0,,,,,1_3,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,178,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
179,hbhf4dkj,,0,0,32,,,,0,,,0.0,T1-P,,,,,,0,0,0,,,,,1_2,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,179,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
180,k5qusjbm,,0,0,32,,,,0,,,0.0,C-Info,,,,,,0,0,0,,,,,3,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,180,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
181,pr8esb3e,,0,0,32,,,,0,,,0.0,C-NoInfo,,,,,,0,0,0,,,,,1_3,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,181,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
182,q7c2zxq6,,0,0,32,,,,0,,,0.0,T2-T,,,,,,0,0,0,,,,,2_3,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,182,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
183,oybghcwx,,0,0,32,,,,0,,,0.0,T1-T-Info,,,,,,0,0,0,,,,,1,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,183,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
184,sd9qwah6,,0,0,32,,,,0,,,0.0,T1-T-NoInfo,,,,,,0,0,0,,,,,1,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,184,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
185,e949sdbi,,0,0,32,,,,0,,,0.0,T1-P,,,,,,0,0,0,,,,,1_2,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,185,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
186,0lovl2w0,,0,0,32,,,,0,,,0.0,C-Info,,,,,,0,0,0,,,,,1_2,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,186,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
187,k0bq9llb,,0,0,32,,,,0,,,0.0,C-NoInfo,,,,,,0,0,0,,,,,2_3,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,187,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
188,6xfq9qr2,,0,0,32,,,,0,,,0.0,T2-T,,,,,,0,0,0,,,,,2,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,188,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
189,unu6njoz,,0,0,32,,,,0,,,0.0,T1-T-Info,,,,,,0,0,0,,,,,1_3,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,189,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
190,gyticrck,,0,0,32,,,,0,,,0.0,T1-T-NoInfo,,,,,,0,0,0,,,,,1,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,190,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
191,23kpvy2f,,0,0,32,,,,0,,,0.0,T1-P,,,,,,0,0,0,,,,,1,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,191,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
192,dnut5919,,0,0,32,,,,0,,,0.0,C-Info,,,,,,0,0,0,,,,,1_2,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,192,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
193,1bx24p78,,0,0,32,,,,0,,,0.0,C-NoInfo,,,,,,0,0,0,,,,,1_2,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,193,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
