participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.treatment,participant.start_time,participant.end_time,participant.finished,participant.browser,participant.cq_1_mistakes,participant.cq_2_mistakes,participant.attempts_training,participant.attempts_work_1,participant.attempts_work_2,participant.attempts_work_3,participant.which_belief,participant.beliefs1,participant.beliefs2,participant.beliefs3,participant.beliefs1_3,participant.beliefs1_2,participant.beliefs2_3,participant.beliefs4,participant.feedback,participant.feedback_difficulty,participant.feedback_understanding,participant.feedback_satisfied,participant.feedback_pay,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.development,session.config.real_world_currency_per_point,session.config.name,session.config.participation_fee,session.prolific_completion_url,otfe.1.player.id_in_group,otfe.1.player.role,otfe.1.player.payoff,otfe.1.player.data_dummy,otfe.1.player.beliefs1,otfe.1.player.beliefs2,otfe.1.player.beliefs3,otfe.1.player.beliefs4,otfe.1.player.beliefs1_2,otfe.1.player.beliefs1_3,otfe.1.player.beliefs2_3,otfe.1.player.cq_1,otfe.1.player.cq_2,otfe.1.player.cq_3,otfe.1.player.survey_student_loans,otfe.1.player.survey_pandemic,otfe.1.player.survey_wealth_tax_savings,otfe.1.player.survey_wealth_tax_consumption,otfe.1.player.survey_wealth_tax_personal_savings,otfe.1.player.survey_wealth_tax_personal_consumption,otfe.1.player.survey_repatriation,otfe.1.player.survey_one_time_policies,otfe.1.player.survey_tax_rates_1,otfe.1.player.survey_tax_rates_2,otfe.1.player.survey_tax_rates_3,otfe.1.player.survey_tax_rates_4,otfe.1.player.survey_tax_rates_5,otfe.1.player.feedback,otfe.1.player.feedback_difficulty,otfe.1.player.feedback_understanding,otfe.1.player.feedback_satisfied,otfe.1.player.feedback_pay,otfe.1.group.id_in_subsession,otfe.1.subsession.round_number
72,sfm375ob,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,0,0,,,,,2_3,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,72,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
73,ctsh0iv4,,0,0,29,,,,0,,,0.0,T2-T,,,,,0,0,,,,,1_2,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,73,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
74,p1gtf12y,,0,0,29,,,,0,,,0.0,C-Info,,,,,0,0,,,,,1_2,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,74,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
75,wk0x6ssv,,0,0,29,,,,0,,,0.0,T1-T-Info,,,,,0,0,,,,,2_3,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,75,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
76,y8xub6hi,,0,0,29,,,,0,,,0.0,T1-T-NoInfo,,,,,0,0,,,,,1_3,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,76,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
77,6nthyzqq,,0,0,29,,,,0,,,0.0,T1-P,,,,,0,0,,,,,1_2,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,77,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
78,vtjai7aw,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,0,0,,,,,2_3,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,78,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
79,y8dk9hyg,,0,0,29,,,,0,,,0.0,T2-T,,,,,0,0,,,,,3,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,79,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
80,jeetypjw,,0,0,29,,,,0,,,0.0,C-Info,,,,,0,0,,,,,2,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,80,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
81,bp4bh561,,0,0,29,,,,0,,,0.0,T1-T-Info,,,,,0,0,,,,,1_3,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,81,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
82,ayj6pl8l,,0,0,29,,,,0,,,0.0,T1-T-NoInfo,,,,,0,0,,,,,1,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,82,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
83,aaebik39,,0,0,29,,,,0,,,0.0,T1-P,,,,,0,0,,,,,3,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,83,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
84,5bpm3uvs,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,0,0,,,,,2,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,84,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
85,zmwoeq0b,,0,0,29,,,,0,,,0.0,T2-T,,,,,0,0,,,,,1_3,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,85,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
86,x1indwxm,,0,0,29,,,,0,,,0.0,C-Info,,,,,0,0,,,,,3,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,86,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
87,mvs28f4d,,0,0,29,,,,0,,,0.0,T1-T-Info,,,,,0,0,,,,,1_3,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,87,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
88,psnqg2ey,,0,0,29,,,,0,,,0.0,T1-T-NoInfo,,,,,0,0,,,,,2,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,88,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
89,x0nuqh92,,0,0,29,,,,0,,,0.0,T1-P,,,,,0,0,,,,,2,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,89,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
90,f9gggqvc,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,0,0,,,,,1_2,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,90,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
91,6bn81qqe,,0,0,29,,,,0,,,0.0,T2-T,,,,,0,0,,,,,1_2,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,91,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
92,cery6fft,,0,0,29,,,,0,,,0.0,C-Info,,,,,0,0,,,,,1_3,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,92,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
93,nan8u4k2,,0,0,29,,,,0,,,0.0,T1-T-Info,,,,,0,0,,,,,1_2,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,93,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
94,2d16a7iw,,0,0,29,,,,0,,,0.0,T1-T-NoInfo,,,,,0,0,,,,,1_2,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,94,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
95,1i7i2uqi,,0,0,29,,,,0,,,0.0,T1-P,,,,,0,0,,,,,2_3,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,95,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
96,2rmqsdlq,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,0,0,,,,,3,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,96,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
97,exguuf3h,,0,0,29,,,,0,,,0.0,T2-T,,,,,0,0,,,,,2,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,97,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
98,dqxdb91e,,0,0,29,,,,0,,,0.0,C-Info,,,,,0,0,,,,,1_3,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,98,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
99,xou4ah4o,,0,0,29,,,,0,,,0.0,T1-T-Info,,,,,0,0,,,,,3,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,99,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
100,s7qs9mhg,,0,0,29,,,,0,,,0.0,T1-T-NoInfo,,,,,0,0,,,,,3,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,100,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
