participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.treatment,participant.start_time,participant.end_time,participant.finished,participant.browser,participant.attention_check,participant.cq_1_mistakes,participant.cq_2_mistakes,participant.cq_3_mistakes,participant.attempts_training,participant.attempts_work_1,participant.attempts_work_2,participant.attempts_work_3,participant.which_belief,participant.beliefs1,participant.beliefs2,participant.beliefs3,participant.beliefs1_3,participant.beliefs1_2,participant.beliefs2_3,participant.beliefs4,participant.belief_bonus,participant.feedback,participant.feedback_difficulty,participant.feedback_understanding,participant.feedback_satisfied,participant.feedback_pay,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.real_world_currency_per_point,session.config.development,session.config.name,session.config.participation_fee,session.prolific_completion_url,otfe.1.player.id_in_group,otfe.1.player.role,otfe.1.player.payoff,otfe.1.player.data_dummy,otfe.1.player.beliefs1,otfe.1.player.beliefs2,otfe.1.player.beliefs3,otfe.1.player.beliefs4,otfe.1.player.beliefs1_2,otfe.1.player.beliefs1_3,otfe.1.player.beliefs2_3,otfe.1.player.cq_1,otfe.1.player.cq_2,otfe.1.player.cq_3,otfe.1.player.survey_student_loans_likelihood,otfe.1.player.survey_student_loans_with,otfe.1.player.survey_student_loans_without,otfe.1.player.survey_student_loans_with_likert,otfe.1.player.survey_student_loans_without_likert,otfe.1.player.survey_pandemic,otfe.1.player.survey_wealth_tax_savings_likelihood,otfe.1.player.survey_wealth_tax_savings,otfe.1.player.survey_wealth_tax_savings_number,otfe.1.player.survey_wealth_tax_consumption,otfe.1.player.survey_wealth_tax_personal_savings,otfe.1.player.survey_wealth_tax_personal_consumption,otfe.1.player.survey_repatriation_likelihood,otfe.1.player.survey_repatriation,otfe.1.player.survey_tax_rates_1,otfe.1.player.survey_tax_rates_2,otfe.1.player.survey_tax_rates_3,otfe.1.player.survey_tax_rates_4,otfe.1.player.survey_tax_rates_5,otfe.1.player.survey_tax_rates_1_prob,otfe.1.player.survey_tax_rates_2_prob,otfe.1.player.survey_tax_rates_3_prob,otfe.1.player.survey_tax_rates_4_prob,otfe.1.player.survey_tax_rates_5_prob,otfe.1.player.annual_income,otfe.1.player.feedback,otfe.1.player.feedback_difficulty,otfe.1.player.feedback_understanding,otfe.1.player.feedback_satisfied,otfe.1.player.feedback_pay,otfe.1.group.id_in_subsession,otfe.1.subsession.round_number
141,iatpdtgo,,0,0,32,,,,0,,,0.0,T2-T,,,,,,0,0,0,,,,,1,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,141,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
142,khh3k37h,,0,0,32,,,,0,,,0.0,T1-T-NoInfo,,,,,,0,0,0,,,,,1,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,142,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
143,xirwwrhk,,0,0,32,,,,0,,,0.0,C-Info,,,,,,0,0,0,,,,,2,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,143,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
144,ipczg4tc,,0,0,32,,,,0,,,0.0,T1-P,,,,,,0,0,0,,,,,3,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,144,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
145,axe7tu03,,0,0,32,,,,0,,,0.0,C-NoInfo,,,,,,0,0,0,,,,,2,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,145,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
146,i5uekc9e,,0,0,32,,,,0,,,0.0,T1-T-Info,,,,,,0,0,0,,,,,2,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,146,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
147,a3jwa90t,,0,0,32,,,,0,,,0.0,T2-T,,,,,,0,0,0,,,,,1_2,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,147,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
148,biz1o0ko,,0,0,32,,,,0,,,0.0,T1-T-NoInfo,,,,,,0,0,0,,,,,3,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,148,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
149,1ksk4fs6,,0,0,32,,,,0,,,0.0,C-Info,,,,,,0,0,0,,,,,1_3,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,149,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
150,lbn1d1il,,0,0,32,,,,0,,,0.0,T1-P,,,,,,0,0,0,,,,,1_3,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,150,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
151,ipbytvv8,,0,0,32,,,,0,,,0.0,C-NoInfo,,,,,,0,0,0,,,,,1,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,151,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
152,v8sl537l,,0,0,32,,,,0,,,0.0,T1-T-Info,,,,,,0,0,0,,,,,1_3,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,152,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
153,aok9a89m,,0,0,32,,,,0,,,0.0,T2-T,,,,,,0,0,0,,,,,3,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,153,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
154,chhtr7h8,,0,0,32,,,,0,,,0.0,T1-T-NoInfo,,,,,,0,0,0,,,,,2,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,154,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
155,a44vm8zx,,0,0,32,,,,0,,,0.0,C-Info,,,,,,0,0,0,,,,,1_3,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,155,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
156,jy35myjl,,0,0,32,,,,0,,,0.0,T1-P,,,,,,0,0,0,,,,,2,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,156,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
157,0r8fisdz,,0,0,32,,,,0,,,0.0,C-NoInfo,,,,,,0,0,0,,,,,2_3,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,157,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
158,amoac71q,,0,0,32,,,,0,,,0.0,T1-T-Info,,,,,,0,0,0,,,,,3,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,158,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
159,p2n5wyrb,,0,0,32,,,,0,,,0.0,T2-T,,,,,,0,0,0,,,,,3,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,159,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
160,fgpubabx,,0,0,32,,,,0,,,0.0,T1-T-NoInfo,,,,,,0,0,0,,,,,2,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,160,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
161,1ecajfu0,,0,0,32,,,,0,,,0.0,C-Info,,,,,,0,0,0,,,,,1_3,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,161,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
162,8vusgnq6,,0,0,32,,,,0,,,0.0,T1-P,,,,,,0,0,0,,,,,1_3,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,162,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
163,cguko4jh,,0,0,32,,,,0,,,0.0,C-NoInfo,,,,,,0,0,0,,,,,3,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,163,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
164,hqbv84ex,,0,0,32,,,,0,,,0.0,T1-T-Info,,,,,,0,0,0,,,,,1_3,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,164,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
165,vmryu395,,0,0,32,,,,0,,,0.0,T2-T,,,,,,0,0,0,,,,,2_3,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,165,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
166,uop47b7r,,0,0,32,,,,0,,,0.0,T1-T-NoInfo,,,,,,0,0,0,,,,,1_3,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,166,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
167,e0g03lqp,,0,0,32,,,,0,,,0.0,C-Info,,,,,,0,0,0,,,,,1,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,167,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
168,vxk1r0vk,,0,0,32,,,,0,,,0.0,T1-P,,,,,,0,0,0,,,,,1,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,168,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
169,ez3u2w08,,0,0,32,,,,0,,,0.0,C-NoInfo,,,,,,0,0,0,,,,,2,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,169,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
170,u4i0re1a,,0,0,32,,,,0,,,0.0,T1-T-Info,,,,,,0,0,0,,,,,1_2,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,170,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
171,7lrnsa6z,,0,0,32,,,,0,,,0.0,T2-T,,,,,,0,0,0,,,,,1_3,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,171,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
172,2iomrhuc,,0,0,32,,,,0,,,0.0,T1-T-NoInfo,,,,,,0,0,0,,,,,1_3,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,172,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
173,yoknl3ww,,0,0,32,,,,0,,,0.0,C-Info,,,,,,0,0,0,,,,,2_3,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,173,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
174,zoawd5o2,,0,0,32,,,,0,,,0.0,T1-P,,,,,,0,0,0,,,,,2,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,174,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
175,69o0ipab,,0,0,32,,,,0,,,0.0,C-NoInfo,,,,,,0,0,0,,,,,1_2,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,175,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
176,9r3023sc,,0,0,32,,,,0,,,0.0,T1-T-Info,,,,,,0,0,0,,,,,3,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,176,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
177,eem2wqbu,,0,0,32,,,,0,,,0.0,T2-T,,,,,,0,0,0,,,,,1_2,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,177,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
178,evx0sway,,0,0,32,,,,0,,,0.0,T1-T-NoInfo,,,,,,0,0,0,,,,,3,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,178,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
179,19opkcwj,,0,0,32,,,,0,,,0.0,C-Info,,,,,,0,0,0,,,,,2,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,179,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
180,s062zeio,,0,0,32,,,,0,,,0.0,T1-P,,,,,,0,0,0,,,,,1,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,180,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
181,0tth9n6n,,0,0,32,,,,0,,,0.0,C-NoInfo,,,,,,0,0,0,,,,,2,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,181,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
182,qhadpc47,,0,0,32,,,,0,,,0.0,T1-T-Info,,,,,,0,0,0,,,,,2,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,182,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
183,slfwxvay,,0,0,32,,,,0,,,0.0,T2-T,,,,,,0,0,0,,,,,1_3,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,183,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
184,9x6x0bno,,0,0,32,,,,0,,,0.0,T1-T-NoInfo,,,,,,0,0,0,,,,,1_3,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,184,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
185,dp1x8o9g,,0,0,32,,,,0,,,0.0,C-Info,,,,,,0,0,0,,,,,1_2,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,185,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
186,ozfbqxve,,0,0,32,,,,0,,,0.0,T1-P,,,,,,0,0,0,,,,,1_3,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,186,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
187,u3mq64cn,,0,0,32,,,,0,,,0.0,C-NoInfo,,,,,,0,0,0,,,,,2_3,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,187,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
188,67yg0dza,,0,0,32,,,,0,,,0.0,T1-T-Info,,,,,,0,0,0,,,,,1_2,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,188,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
189,0n4de5hi,,0,0,32,,,,0,,,0.0,T2-T,,,,,,0,0,0,,,,,1_2,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,189,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
190,7awjwkr5,,0,0,32,,,,0,,,0.0,T1-T-NoInfo,,,,,,0,0,0,,,,,2,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,190,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
191,7r1rrflv,,0,0,32,,,,0,,,0.0,C-Info,,,,,,0,0,0,,,,,2_3,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,191,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
192,7ebn0sb6,,0,0,32,,,,0,,,0.0,T1-P,,,,,,0,0,0,,,,,3,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,192,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
193,2put9j1d,,0,0,32,,,,0,,,0.0,C-NoInfo,,,,,,0,0,0,,,,,1_3,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,193,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
194,9dv99fuj,,0,0,32,,,,0,,,0.0,T1-T-Info,,,,,,0,0,0,,,,,3,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,194,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
195,prn1lke5,,0,0,32,,,,0,,,0.0,T2-T,,,,,,0,0,0,,,,,2_3,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,195,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
196,yoelflk2,,0,0,32,,,,0,,,0.0,T1-T-NoInfo,,,,,,0,0,0,,,,,2_3,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,196,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
197,dp9wchao,,0,0,32,,,,0,,,0.0,C-Info,,,,,,0,0,0,,,,,1_3,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,197,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
198,37ks1q29,,0,0,32,,,,0,,,0.0,T1-P,,,,,,0,0,0,,,,,1,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,198,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
199,coqa8ovx,,0,0,32,,,,0,,,0.0,C-NoInfo,,,,,,0,0,0,,,,,1_2,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,199,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
200,sm47xpwk,,0,0,32,,,,0,,,0.0,T1-T-Info,,,,,,0,0,0,,,,,1_3,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,200,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
201,04dqu32n,,0,0,32,,,,0,,,0.0,T2-T,,,,,,0,0,0,,,,,1,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,201,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
202,oxupipi4,,0,0,32,,,,0,,,0.0,T1-T-NoInfo,,,,,,0,0,0,,,,,3,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,202,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
203,a7walv0z,,0,0,32,,,,0,,,0.0,C-Info,,,,,,0,0,0,,,,,3,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,203,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
204,h37qlpii,,0,0,32,,,,0,,,0.0,T1-P,,,,,,0,0,0,,,,,1,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,204,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
205,3vr2dym2,,0,0,32,,,,0,,,0.0,C-NoInfo,,,,,,0,0,0,,,,,1,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,205,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
206,xufyrn7z,,0,0,32,,,,0,,,0.0,T1-T-Info,,,,,,0,0,0,,,,,1,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,206,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
207,qizxkidg,,0,0,32,,,,0,,,0.0,T2-T,,,,,,0,0,0,,,,,3,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,207,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
208,ku6xm5va,,0,0,32,,,,0,,,0.0,T1-T-NoInfo,,,,,,0,0,0,,,,,3,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,208,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
209,6fm5mkbk,,0,0,32,,,,0,,,0.0,C-Info,,,,,,0,0,0,,,,,2_3,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,209,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
210,2lru693o,,0,0,32,,,,0,,,0.0,T1-P,,,,,,0,0,0,,,,,1_2,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,210,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
211,47f5ln9l,,0,0,32,,,,0,,,0.0,C-NoInfo,,,,,,0,0,0,,,,,2,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,211,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
212,ccme92oi,,0,0,32,,,,0,,,0.0,T1-T-Info,,,,,,0,0,0,,,,,2,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,212,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
213,h9o91dkf,,0,0,32,,,,0,,,0.0,T2-T,,,,,,0,0,0,,,,,3,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,213,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
