participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.treatment,participant.start_time,participant.end_time,participant.finished,participant.browser,participant.attention_check,participant.cq_1_mistakes,participant.cq_2_mistakes,participant.attempts_training,participant.attempts_work_1,participant.attempts_work_2,participant.attempts_work_3,participant.which_belief,participant.beliefs1,participant.beliefs2,participant.beliefs3,participant.beliefs1_3,participant.beliefs1_2,participant.beliefs2_3,participant.beliefs4,participant.belief_bonus,participant.feedback,participant.feedback_difficulty,participant.feedback_understanding,participant.feedback_satisfied,participant.feedback_pay,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.name,session.config.participation_fee,session.config.development,session.config.real_world_currency_per_point,session.prolific_completion_url,otfe.1.player.id_in_group,otfe.1.player.role,otfe.1.player.payoff,otfe.1.player.data_dummy,otfe.1.player.beliefs1,otfe.1.player.beliefs2,otfe.1.player.beliefs3,otfe.1.player.beliefs4,otfe.1.player.beliefs1_2,otfe.1.player.beliefs1_3,otfe.1.player.beliefs2_3,otfe.1.player.cq_1,otfe.1.player.cq_2,otfe.1.player.cq_3,otfe.1.player.survey_student_loans,otfe.1.player.survey_pandemic,otfe.1.player.survey_wealth_tax_savings,otfe.1.player.survey_wealth_tax_consumption,otfe.1.player.survey_wealth_tax_personal_savings,otfe.1.player.survey_wealth_tax_personal_consumption,otfe.1.player.survey_repatriation,otfe.1.player.survey_one_time_policies,otfe.1.player.survey_tax_rates_1,otfe.1.player.survey_tax_rates_2,otfe.1.player.survey_tax_rates_3,otfe.1.player.survey_tax_rates_4,otfe.1.player.survey_tax_rates_5,otfe.1.player.feedback,otfe.1.player.feedback_difficulty,otfe.1.player.feedback_understanding,otfe.1.player.feedback_satisfied,otfe.1.player.feedback_pay,otfe.1.group.id_in_subsession,otfe.1.subsession.round_number
71,s6f65idu,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,2,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,71,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
72,2nqnfxa8,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,1_3,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,72,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
73,983fcqx1,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,2,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,73,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
74,7mld6srf,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,3,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,74,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
75,0zrj79ri,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,2,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,75,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
76,d8zg0h59,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,1,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,76,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
77,1v2la8er,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,2,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,77,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
78,vawtym1d,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,3,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,78,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
79,0arvt2u4,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,3,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,79,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
80,n66lvtbw,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,1_2,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,80,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
81,92wk9wdp,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,1_3,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,81,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
82,zir6qjix,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,3,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,82,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
83,s7ddod0f,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,1_3,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,83,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
84,ma08jxt2,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,2_3,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,84,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
85,qiui81vq,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,3,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,85,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
86,y5al7lx3,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,2_3,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,86,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
87,of6crj4p,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,1,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,87,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
88,vv774mik,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,3,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,88,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
89,9yhk90gf,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,3,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,89,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
90,xlxskb6h,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,2,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,90,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
91,jeew70g4,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,2_3,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,91,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
92,upybphu7,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,1_3,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,92,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
93,orgev2bo,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,2,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,93,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
94,rnezkfcu,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,1_2,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,94,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
95,1rtriu98,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,1,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,95,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
96,tv4kgkb6,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,2,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,96,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
97,nltb7yzj,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,1,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,97,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
98,y49d03kc,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,1_3,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,98,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
99,76xejy1l,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,3,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,99,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
100,0g2moy1c,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,1,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,100,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
1,g5k3x1no,,0,2,29,otfe,Consent,2025-02-07 14:58:00.306387,1,,,0.0,C-NoInfo,1738940285.9531035,,,Safari 16,,0,0,,,,,1_2,,,,,,,,,,,,,,35b2iimg,,,,,1,otfe,0.0,0,1.0,,1,,0.0,Safari 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
2,f7mtjct2,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,1_3,,,,,,,,,,,,,,35b2iimg,,,,,1,otfe,0.0,0,1.0,,2,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
3,mkeivzd5,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,1_3,,,,,,,,,,,,,,35b2iimg,,,,,1,otfe,0.0,0,1.0,,3,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
4,2kbhzmry,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,1_3,,,,,,,,,,,,,,35b2iimg,,,,,1,otfe,0.0,0,1.0,,4,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
5,yjia6reh,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,1_3,,,,,,,,,,,,,,35b2iimg,,,,,1,otfe,0.0,0,1.0,,5,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
6,2epvg9gu,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,1_2,,,,,,,,,,,,,,35b2iimg,,,,,1,otfe,0.0,0,1.0,,6,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
1,pxcus2jx,,0,1,29,otfe,Welcome,2025-02-07 16:04:43.416229,1,,,0.0,T2-T,,,,,,0,0,,,,,2_3,,,,,,,,,,,,,,2qe6f6ti,,,,,1,otfe,0.0,0,1.0,,1,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
2,8b0tgidj,,0,1,29,otfe,Welcome,2025-02-07 16:04:54.594483,1,,,0.0,C-NoInfo,,,,,,0,0,,,,,3,,,,,,,,,,,,,,2qe6f6ti,,,,,1,otfe,0.0,0,1.0,,2,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
3,u97gsw7k,,0,1,29,otfe,Welcome,2025-02-07 16:04:58.111319,1,,,0.0,T2-T,,,,,,0,0,,,,,2_3,,,,,,,,,,,,,,2qe6f6ti,,,,,1,otfe,0.0,0,1.0,,3,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
4,ks1a34su,,0,1,29,otfe,Welcome,2025-02-07 16:05:01.998636,1,,,0.0,C-NoInfo,,,,,,0,0,,,,,1_2,,,,,,,,,,,,,,2qe6f6ti,,,,,1,otfe,0.0,0,1.0,,4,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
5,qf6se3nx,,0,1,29,otfe,Welcome,2025-02-07 16:05:04.702455,1,,,0.0,T2-T,,,,,,0,0,,,,,1_2,,,,,,,,,,,,,,2qe6f6ti,,,,,1,otfe,0.0,0,1.0,,5,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
6,mbqrp6u2,,0,7,29,otfe,CQS,2025-02-07 16:05:07.411502,1,,,0.0,C-NoInfo,1738944309.7322123,,,Edge 132,,0,0,"{""correctAttempts"":1,""incorrectAttempts"":0}",,,,2_3,,,,,,,,,,,,,,2qe6f6ti,,,,,1,otfe,0.0,0,1.0,,6,,0.0,"{""correctAttempts"":1,""incorrectAttempts"":0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
1,wpg943r9,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,1,,,,,,,,,,,,,,r2bea8c6,,,,,1,otfe,0.0,0,1.0,,1,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
2,5ysu8ylm,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,1,,,,,,,,,,,,,,r2bea8c6,,,,,1,otfe,0.0,0,1.0,,2,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
3,gas82gz5,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,2,,,,,,,,,,,,,,r2bea8c6,,,,,1,otfe,0.0,0,1.0,,3,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
4,bxqhp2s1,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,1_2,,,,,,,,,,,,,,r2bea8c6,,,,,1,otfe,0.0,0,1.0,,4,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
5,1l5qgawm,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,1_2,,,,,,,,,,,,,,r2bea8c6,,,,,1,otfe,0.0,0,1.0,,5,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
6,uan9thyn,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,3,,,,,,,,,,,,,,r2bea8c6,,,,,1,otfe,0.0,0,1.0,,6,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
